Year,Mean Absolute Error,Time Spent (s),Error for each fold
2005,-2.1758620689655173,1.3900001049041748,[-2.14536266 -2.32609988 -2.00326992 -2.04488704 -2.35969084]
2006,-1.9857581898007433,1.369999885559082,[-1.97539683 -1.89402229 -1.98237082 -2.06301925 -2.01398176]
2007,-1.9573867204769517,1.317000150680542,[-2.06428571 -1.83731611 -1.84079145 -2.10881459 -1.93572574]
2008,-1.9154660587639314,1.36899995803833,[-1.82738095 -1.86950355 -1.95542047 -2.00364742 -1.92137791]
2009,-1.8942040816326529,1.3350000381469727,[-1.89183673 -1.8944898  -1.84938776 -1.8644898  -1.97081633]
2010,-1.9111488949457183,1.6619999408721924,[-1.82762017 -1.88888889 -1.95472837 -1.97404427 -1.91046278]
2011,-1.8437923046553553,1.3889999389648438,[-1.71847912 -1.82643814 -1.9221328  -1.93279678 -1.81911469]
2012,-1.9122327594158581,1.3700001239776611,[-1.79929577 -1.85172144 -2.01604069 -1.98201798 -1.91208791]
2013,-1.8644355644355646,1.312999963760376,[-1.69640063 -1.81690141 -1.98669797 -1.92287712 -1.8993007 ]
2014,-1.9036733719892247,1.246000051498413,[-1.68380615 -1.76635146 -2.02937626 -2.18933602 -1.84949698]
