Year,Mean Absolute Error,Time Spent (s),Error for each fold
2005,-2.0398919433558564,1.4259998798370361,[-1.99433875 -2.21993066 -1.77762333 -2.09140768 -2.1161593 ]
2006,-0.65728788236603852,1.3559999465942383,[-0.66346308 -0.53021447 -0.72704875 -0.67917633 -0.68653678]
2007,-0.42344818977221765,1.4580001831054688,[-0.40636586 -0.47455747 -0.49182087 -0.4204585  -0.32403825]
2008,-0.4530161037257,1.3980000019073486,[-0.26602225 -0.47268055 -0.58044893 -0.53164873 -0.41428006]
2009,-0.3881850056915056,1.3599998950958252,[-0.33197218 -0.46689251 -0.37571967 -0.39904633 -0.36729434]
2010,-0.50013200638765609,1.6979999542236328,[-0.28428555 -0.40301199 -0.54206564 -0.60277746 -0.66851941]
2011,-0.54348149472720675,1.4230000972747803,[-0.39862013 -0.44189236 -0.5744121  -0.64135395 -0.66112894]
2012,-0.45121639860455193,1.4679999351501465,[-0.32404152 -0.38854843 -0.52898772 -0.51234473 -0.50215959]
2013,-0.43740495916317601,1.499000072479248,[-0.43162861 -0.31627613 -0.52636261 -0.45274129 -0.46001616]
2014,-0.49067893070333818,1.3929998874664307,[-0.32380202 -0.35032575 -0.55735172 -0.70539536 -0.51651981]
